author,title,content,published_at,name
Colm Quinn,Saudi Arabia’s Hushed Washington Visit,"Here is todays Foreign Policy brief: Prince Khalid bin Salman continues Washington visit, the United Nations calls for talks on Ethiopian dam dispute, and Iran takes steps to produce enriched uranium… [+6709 chars]",2021-07-07T09:53:28Z,Foreign Policy
soyacincau,1 Utama: WhatsApp message claiming over 50 people infected with Delta variant is fake news,"The management of 1 Utama Shopping Centre today denied that any of its personnel or patrons have become infected with the highly contagious new strain of COVID-19 known identified as Delta.
In a Fac… [+814 chars]",2021-07-07T09:51:45Z,SoyaCincau.com
Papa Kuranchie,Covid 19: Kilkeel seafood factory closes due to outbreak,"Kilkeel Seafoods in County Down has temporarily shut down as a result of a Coronavirus outbreak.
The factory closed last Thursday following 42 confirmed positive cases. The tests were taken as a pre… [+614 chars]",2021-07-07T09:51:39Z,City A.M.
Mia Jankowicz,"Trump wanted to use the COVID-19 pandemic to call off the 2020 election, Wolff book says","Former President Donald Trump suggested using the COVID-19 pandemic as an excuse to not hold the 2020 presidential election, according to a new book. 
An excerpt from Michael Wolff's book ""Landslide… [+2394 chars]",2021-07-07T09:51:24Z,Business Insider
PTI,"Fitch cuts India growth forecast to 10%, says rapid vaccination to support revival","Fitch Ratings on Wednesday cut India's growth forecast to 10 per cent for the current fiscal, from 12.8 per cent estimated earlier, due to slowing recovery post second wave of COVID-19, and said rapi… [+3913 chars]",2021-07-07T09:50:36Z,Business Today
August Graham,UK lags behind global recovery for recruiting giants,"Two of the UKs biggest recruitment companies show that while the UK sector is recovering, it still has some way to go, despite bounces abroad.
Page Group said that its UK gross profit was still 9% b… [+1955 chars]",2021-07-07T09:49:43Z,Independent
Stephen Bush,Why millions will be self-isolating this summer,"As goes the England cricket team, so goes the country? Englands selectors have been forced to choose a brand new squad to face Pakistan after three players and four members of the coaching staff test… [+1532 chars]",2021-07-07T09:49:00Z,New Statesman
Nation,Kenya: Kenya Risks Losing U.S.$445 Million From Global Fund Over Graft,"The Global Fund says Kenya risks losing Sh48 billion if corruption allegations at the Kenya Medical Supplies Authority (Kemsa) are not completed and changes made to ensure transparency.
The Fund mob… [+3384 chars]",2021-07-07T09:45:57Z,AllAfrica - Top Africa News
Associated Press,Chinese authorities lock down border town as Myanmar battles outbreak,"Chinese authorities locked down a city bordering Myanmar on Wednesday, shutting most businesses and requiring residents to stay at home as a fresh outbreak of COVID-19 expanded.
Another 15 cases wer… [+2790 chars]",2021-07-07T09:45:32Z,Fox News
Mary Lewis,The Art of the Meal,"The authors honey-roasted salmon. (Becky Rinehart)
M
artinsburg, W
est V
irginiaLaughter, good conversation, and by all means good food nourish the soul. I learned everything about that, along wi… [+7148 chars]",2021-07-07T09:45:19Z,Thenation.com
Papa Kuranchie,Australia's Sydney Airport receives $16.7bn takeover offer,"A consortium of IFM investors, pension fund QSuper and Global Infrastructure Management has made an offer of AU$22.26b (£12.1b) for Sydney Airport. 
However, the AU$8.25 per share offer sits below t… [+824 chars]",2021-07-07T09:45:15Z,City A.M.
Economy Class & Beyond,"Heathrow Airport, with British Airways and Virgin Atlantic to launch “Proof of Vacination” trials","British Airways, Virgin Atlantic and Heathrow Airport have joined forces on a trial to prove its possible to quickly and easily verify those arriving into the UK who are fully vaccinated.
The new UK… [+5380 chars]",2021-07-07T09:44:55Z,Boardingarea.com
