Jahr,Bundesland,Wert,Indikator
1951,Baden-Wuerttemberg,99.53,frost_days
1952,Baden-Wuerttemberg,117.32,frost_days
1953,Baden-Wuerttemberg,117.09,frost_days
1954,Baden-Wuerttemberg,105.27,frost_days
1955,Baden-Wuerttemberg,128.3,frost_days
1956,Baden-Wuerttemberg,120.49,frost_days
1957,Baden-Wuerttemberg,99.48,frost_days
1958,Baden-Wuerttemberg,104.53,frost_days
1959,Baden-Wuerttemberg,105.74,frost_days
1960,Baden-Wuerttemberg,88.64,frost_days
1961,Baden-Wuerttemberg,87.29,frost_days
1962,Baden-Wuerttemberg,122.64,frost_days
1963,Baden-Wuerttemberg,117.73,frost_days
1964,Baden-Wuerttemberg,105.08,frost_days
1965,Baden-Wuerttemberg,105.36,frost_days
1966,Baden-Wuerttemberg,89.02,frost_days
1967,Baden-Wuerttemberg,98.28,frost_days
1968,Baden-Wuerttemberg,111.92,frost_days
1969,Baden-Wuerttemberg,114.65,frost_days
1970,Baden-Wuerttemberg,111.49,frost_days
1971,Baden-Wuerttemberg,110.35,frost_days
1972,Baden-Wuerttemberg,107.6,frost_days
1973,Baden-Wuerttemberg,125.84,frost_days
1974,Baden-Wuerttemberg,69.83,frost_days
1975,Baden-Wuerttemberg,94.04,frost_days
1976,Baden-Wuerttemberg,101.23,frost_days
1977,Baden-Wuerttemberg,79.23,frost_days
1978,Baden-Wuerttemberg,100.05,frost_days
1979,Baden-Wuerttemberg,98.89,frost_days
1980,Baden-Wuerttemberg,106.2,frost_days
1981,Baden-Wuerttemberg,108.09,frost_days
1982,Baden-Wuerttemberg,96.91,frost_days
1983,Baden-Wuerttemberg,97.54,frost_days
1984,Baden-Wuerttemberg,110.38,frost_days
1985,Baden-Wuerttemberg,118.43,frost_days
1986,Baden-Wuerttemberg,102.97,frost_days
1987,Baden-Wuerttemberg,104.51,frost_days
1988,Baden-Wuerttemberg,81.23,frost_days
1989,Baden-Wuerttemberg,86.51,frost_days
1990,Baden-Wuerttemberg,81.85,frost_days
1991,Baden-Wuerttemberg,104.61,frost_days
1992,Baden-Wuerttemberg,86.68,frost_days
1993,Baden-Wuerttemberg,91.14,frost_days
1994,Baden-Wuerttemberg,60.57,frost_days
1995,Baden-Wuerttemberg,92.86,frost_days
1996,Baden-Wuerttemberg,117.33,frost_days
1997,Baden-Wuerttemberg,95.41,frost_days
1998,Baden-Wuerttemberg,91.05,frost_days
1999,Baden-Wuerttemberg,85.58,frost_days
2000,Baden-Wuerttemberg,63.81,frost_days
2001,Baden-Wuerttemberg,88.62,frost_days
2002,Baden-Wuerttemberg,66.08,frost_days
2003,Baden-Wuerttemberg,109.72,frost_days
2004,Baden-Wuerttemberg,100.7,frost_days
2005,Baden-Wuerttemberg,105.8,frost_days
2006,Baden-Wuerttemberg,103.16,frost_days
2007,Baden-Wuerttemberg,77.13,frost_days
2008,Baden-Wuerttemberg,100.81,frost_days
2009,Baden-Wuerttemberg,95.44,frost_days
2010,Baden-Wuerttemberg,116.15,frost_days
2011,Baden-Wuerttemberg,90.95,frost_days
2012,Baden-Wuerttemberg,88.96,frost_days
2013,Baden-Wuerttemberg,107.4,frost_days
2014,Baden-Wuerttemberg,65,frost_days
2015,Baden-Wuerttemberg,95.88,frost_days
2016,Baden-Wuerttemberg,93.79,frost_days
2017,Baden-Wuerttemberg,95.75,frost_days
2018,Baden-Wuerttemberg,83.79,frost_days
2019,Baden-Wuerttemberg,89.2,frost_days
2020,Baden-Wuerttemberg,86.95,frost_days
2021,Baden-Wuerttemberg,105.63,frost_days
2022,Baden-Wuerttemberg,85.99,frost_days
2023,Baden-Wuerttemberg,75.15,frost_days
2024,Baden-Wuerttemberg,65.13,frost_days
2025,Baden-Wuerttemberg,93.81,frost_days
1951,Bayern,117.17,frost_days
1952,Bayern,127.31,frost_days
1953,Bayern,126.08,frost_days
1954,Bayern,116.72,frost_days
1955,Bayern,134.6,frost_days
1956,Bayern,130.17,frost_days
1957,Bayern,110.09,frost_days
1958,Bayern,117.62,frost_days
1959,Bayern,122.17,frost_days
1960,Bayern,106.4,frost_days
1961,Bayern,98.66,frost_days
1962,Bayern,132.97,frost_days
1963,Bayern,124.55,frost_days
1964,Bayern,115.2,frost_days
1965,Bayern,121.9,frost_days
1966,Bayern,101.16,frost_days
1967,Bayern,106.71,frost_days
1968,Bayern,123.49,frost_days
1969,Bayern,126.42,frost_days
1970,Bayern,121.69,frost_days
1971,Bayern,119.22,frost_days
1972,Bayern,123.61,frost_days
1973,Bayern,138.4,frost_days
1974,Bayern,84.3,frost_days
1975,Bayern,108.5,frost_days
1976,Bayern,115.73,frost_days
1977,Bayern,91.57,frost_days
1978,Bayern,117.17,frost_days
1979,Bayern,116.6,frost_days
1980,Bayern,120.01,frost_days
1981,Bayern,118.02,frost_days
1982,Bayern,112.17,frost_days
1983,Bayern,107.27,frost_days
1984,Bayern,125.4,frost_days
1985,Bayern,130.72,frost_days
1986,Bayern,113.07,frost_days
1987,Bayern,113.04,frost_days
1988,Bayern,97.23,frost_days
1989,Bayern,95.44,frost_days
1990,Bayern,93.58,frost_days
1991,Bayern,117.28,frost_days
1992,Bayern,100.08,frost_days
1993,Bayern,104.98,frost_days
1994,Bayern,76.25,frost_days
1995,Bayern,109.31,frost_days
1996,Bayern,130.62,frost_days
1997,Bayern,110.52,frost_days
1998,Bayern,99.58,frost_days
1999,Bayern,97.64,frost_days
2000,Bayern,77.97,frost_days
2001,Bayern,100.32,frost_days
2002,Bayern,81.28,frost_days
2003,Bayern,123.55,frost_days
2004,Bayern,109.2,frost_days
2005,Bayern,115.59,frost_days
2006,Bayern,109.16,frost_days
2007,Bayern,87.27,frost_days
2008,Bayern,105.5,frost_days
2009,Bayern,104.08,frost_days
2010,Bayern,123.74,frost_days
2011,Bayern,107.28,frost_days
2012,Bayern,98.97,frost_days
2013,Bayern,112.73,frost_days
2014,Bayern,77.52,frost_days
2015,Bayern,105.48,frost_days
2016,Bayern,101.46,frost_days
2017,Bayern,100.42,frost_days
2018,Bayern,94.7,frost_days
2019,Bayern,93.03,frost_days
2020,Bayern,97.7,frost_days
2021,Bayern,117.86,frost_days
2022,Bayern,95.94,frost_days
2023,Bayern,83.04,frost_days
2024,Bayern,69.33,frost_days
2025,Bayern,106.48,frost_days
1951,Brandenburg,79.79,frost_days
1952,Brandenburg,110.91,frost_days
1953,Brandenburg,91.3,frost_days
1954,Brandenburg,99.32,frost_days
1955,Brandenburg,112.57,frost_days
1956,Brandenburg,102.99,frost_days
1957,Brandenburg,82.75,frost_days
1958,Brandenburg,95.14,frost_days
1959,Brandenburg,88.97,frost_days
1960,Brandenburg,80.15,frost_days
1961,Brandenburg,65.34,frost_days
1962,Brandenburg,96.78,frost_days
1963,Brandenburg,114.39,frost_days
1964,Brandenburg,101.49,frost_days
1965,Brandenburg,103.41,frost_days
