Timestamp,Was war Ihre mittlere Handynutzungszeit in der letzten  Woche in ganzen Minuten?,Was war Ihre Reaktionszeit im Stroop-Test (Herr Gaul) in Millsekunden?,Was war Ihr Anteil an richtigen Antworten im Stroop-Test in Prozent?,Wie oft haben Sie Handy pro Tag entsperrt (im Schnitt) letzte Woche?,Geschlecht?
2022-03-29T11:13:09Z,281,1122,100,155,Frau
2022-03-29T11:13:21Z,219,1911,96,114,Mann
2022-03-29T11:13:33Z,210,1006,100,200,Frau
2022-03-29T11:13:34Z,217,1375,98,171,Frau
2022-03-29T11:13:37Z,266,1249,98,124,Frau
2022-03-29T11:13:38Z,7.3,1203,98,120,Mann
2022-03-29T11:13:39Z,276,1498,100,169,Frau
2022-03-29T11:13:55Z,157,1276,98,74,Frau
2022-03-29T11:14:13Z,183,1200,100,93,Frau
2022-03-29T11:14:14Z,209,1704,100,139,Mann
2022-03-29T11:14:14Z,239,1582,100,47,Frau
2022-03-29T11:14:14Z,311,1382,96.6,148,Frau
2022-03-29T11:14:24Z,194,1248,89,106,Frau
2022-03-29T11:14:34Z,156,1308,100,99,Frau
2022-03-29T11:14:34Z,301,1016,75,135,Frau
2022-03-29T11:14:41Z,207,1027,100,130,Frau
2022-03-29T11:14:42Z,217,1153,100,131,Frau
2022-03-29T11:14:44Z,266,1074,100,72,Frau
2022-03-29T11:14:52Z,158,1020,100,116,Mann
2022-03-29T11:15:00Z,97,1315,100,41,Mann
2022-03-29T11:15:01Z,122,1244,100,90,Frau
2022-03-29T11:15:03Z,136,1072,98,72,Frau
2022-03-29T11:15:03Z,229,1057,100,NA,Mann
2022-03-29T11:15:09Z,473,NA,NA,253,Frau
2022-03-29T11:15:10Z,282,789,87,43,Frau
2022-03-29T11:15:11Z,343,865,100,120,Frau
2022-03-29T11:15:11Z,148,936,100,47,Frau
2022-03-29T11:15:12Z,180,1443,98.3,135,Frau
2022-03-29T11:15:14Z,202,NA,NA,NA,Mann
2022-03-29T11:15:15Z,398,1467,100,152,Frau
2022-03-29T11:15:15Z,148,1547,98.3,108,Frau
2022-03-29T11:15:16Z,134,1604,100,90,Frau
2022-03-29T11:15:17Z,311,902,98,126,Frau
2022-03-29T11:15:18Z,328,949,100,100,Frau
2022-03-29T11:15:21Z,166,1007,1007,97,Frau
2022-03-29T11:15:29Z,145,1165,100,97,Frau
2022-03-29T11:15:29Z,360,1121,98,110,Frau
2022-03-29T11:15:35Z,258,1381,98,948,Frau
2022-03-29T11:15:36Z,203,1489,98,NA,Frau
2022-03-29T11:15:41Z,600,1315,98.3,60,Frau
2022-03-29T11:15:41Z,380,997,100,60,Frau
2022-03-29T11:15:44Z,340,1630,100,80,Frau
2022-03-29T11:15:50Z,262,1208,100,128,Frau
2022-03-29T11:15:50Z,232,1301,100,98,Frau
2022-03-29T11:15:51Z,360,1186,98.3,74,Frau
2022-03-29T11:15:53Z,458,2400,100,330,Frau
2022-03-29T11:15:56Z,186,827,100,NA,Mann
2022-03-29T11:16:00Z,245,1421,100,125,Frau
2022-03-29T11:16:02Z,190,1277,83,80,Frau
2022-03-29T11:16:02Z,287,1274,100,84,Frau
2022-03-29T11:16:04Z,240,1715,97,141,Frau
2022-03-29T11:16:06Z,357,860,100,NA,Frau
2022-03-29T11:16:07Z,210,960,100,200,Mann
2022-03-29T11:16:10Z,420,NA,NA,166,Frau
2022-03-29T11:16:13Z,613,1096,100,NA,Frau
2022-03-29T11:16:15Z,200,1447,100,89,Frau
2022-03-29T11:16:16Z,400,1156,89,140,Mann
2022-03-29T11:16:16Z,450,1200,98,110,Mann
2022-03-29T11:16:21Z,156,NA,97,103,Frau
2022-03-29T11:16:22Z,175,1668,100,150,Mann
2022-03-29T11:16:26Z,3245,1395,95,150,Frau
2022-03-29T11:16:29Z,409,1106,95,67,Frau
2022-03-29T11:16:38Z,632,1186,100,NA,Frau
2022-03-29T11:16:40Z,363,1256,100,109,Frau
2022-03-29T11:16:43Z,147,1900,100,91,Frau
2022-03-29T11:16:46Z,266,717,57,95,Frau
2022-03-29T11:16:46Z,258,1389,98,125,Frau
2022-03-29T11:16:48Z,440,1089,100,250,Frau
2022-03-29T11:16:57Z,1935,1209,100,600,Mann
2022-03-29T11:17:01Z,269,1214,100,191,Mann
2022-03-29T11:17:04Z,308,NA,NA,270,Frau
2022-03-29T11:17:05Z,498,1258,100,108,Frau
2022-03-29T11:17:06Z,407,785,100,175,Frau
2022-03-29T11:17:08Z,190,1403,100,34,Mann
2022-03-29T11:17:09Z,453,1571,95,854,Frau
2022-03-29T11:17:29Z,480,1300,98,197,Mann
2022-03-29T11:17:32Z,244,1138,100,75,Frau
2022-03-29T11:17:37Z,514,1332,95,100,Frau
2022-03-29T11:17:37Z,151,NA,100,51,Frau
2022-03-29T11:17:50Z,300,1493,98,88,Frau
2022-03-29T11:18:29Z,269,1146,100,119,Frau
2022-03-29T11:18:34Z,595,1706,100,NA,Mann
2022-03-29T11:18:36Z,198,1484,97,200,Frau
2022-03-29T11:18:42Z,407,1780,100,153,Mann
2022-03-29T11:18:59Z,466,975,100,560,Frau
2022-03-29T11:19:01Z,196,1140,98,131,Frau
2022-03-29T11:19:13Z,267,1607,100,416,Frau
2022-03-29T11:19:27Z,328,1023,100,NA,Frau
2022-03-29T11:20:32Z,298,1446,100,115,Frau
2022-03-29T11:20:42Z,316,1359,98,80,Frau
2022-03-29T11:21:04Z,390,845,100,63,Frau
2022-03-29T11:21:19Z,210,1459,100,15,Frau
2022-03-29T11:23:52Z,360,400,NA,NA,Frau
