text,tweet,selection,rater_name
Anbei,1,4,rater1
WIE B,2,32,rater1
WIE B,2,5,rater1
++ Nu,3,4,rater1
Wahlk,4,4,rater1
In fü,5,4,rater1
Ansch,6,4,rater1
Unser,7,32,rater1
Unser,7,5,rater1
Was w,8,32,rater1
+++ 📣,9,4,rater1
Nach ,10,23,rater1
Nach ,10,5,rater1
Der S,11,23,rater1
Der S,11,5,rater1
❝Digi,12,4,rater1
Die F,13,4,rater1
++ #7,14,5,rater1
Volle,15,5,rater1
Das g,16,23,rater1
+++ @,17,4,rater1
+++ @,18,4,rater1
#70Ja,19,5,rater1
❝Demo,20,4,rater1
Guten,21,1,rater1
Guten,21,33,rater1
++ Nu,22,1,rater1
++ Bu,23,5,rater1
Gleic,24,4,rater1
#SPD ,25,23,rater1
#SPD ,25,5,rater1
++ Wi,26,32,rater1
++ Wi,26,5,rater1
Die P,27,23,rater1
Irre:,28,23,rater1
❗️🎥#A,29,4,rater1
Wir v,30,4,rater1
++ #E,31,23,rater1
Heute,32,4,rater1
❝Sie ,33,23,rater1
❝Sie ,33,32,rater1
Wir f,34,1,rater1
Sowoh,35,23,rater1
❝Wir ,36,5,rater1
❝Die ,37,4,rater1
❝Die ,37,5,rater1
❝Wir ,38,33,rater1
@spdd,39,4,rater1
❝Das ,40,23,rater1
Wir w,41,5,rater1
❝Die ,42,4,rater1
+++ 📺,43,4,rater1
Ansch,44,32,rater1
Das i,45,4,rater1
Guten,46,5,rater1
+++ S,47,4,rater1
Marti,48,4,rater1
❝Wir ,49,4,rater1
❝Wir ,50,4,rater1
❝Wir ,51,1,rater1
❝Wir ,52,23,rater1
Hier ,53,4,rater1
»Knap,54,4,rater1
Jetzt,55,4,rater1
❝Die ,56,32,rater1
❝Die ,56,33,rater1
Feige,57,4,rater1
Die #,58,4,rater1
+++ 📺,59,4,rater1
Pulve,60,4,rater1
Barge,61,4,rater1
❝Rech,62,4,rater1
+++Cl,63,23,rater1
+++Cl,63,4,rater1
+++Cl,63,5,rater1
++ Me,64,23,rater1
"""Mit ",65,4,rater1
Wie o,66,4,rater1
++ Do,67,4,rater1
+++Wi,68,4,rater1
++@Fr,69,4,rater1
❝Sie ,70,4,rater1
Das T,71,4,rater1
❝Wenn,72,23,rater1
❝Ist ,73,4,rater1
❝@Man,74,23,rater1
Wenn ,75,4,rater1
❝Mach,76,4,rater1
❝Mach,76,5,rater1
❝Wir ,77,4,rater1
❝Wir ,77,5,rater1
#AfD-,78,4,rater1
❝Das ,79,4,rater1
++ 📺-,80,4,rater1
📊Gehö,81,4,rater1
"""839 ",82,4,rater1
»Hass,83,4,rater1
#AfD-,84,23,rater1
»Die ,85,4,rater1
Gewal,86,4,rater1
Die v,87,4,rater1
❝Rech,88,4,rater1
++ 📺-,89,4,rater1
🇮🇹🇫🇷🇩,90,4,rater1
💙lich,91,4,rater1
Joerg,92,4,rater1
Wer h,93,4,rater1
Wahlk,94,4,rater1
+++  ,95,4,rater1
18. M,96,4,rater1
»Wenn,97,4,rater1
Es is,98,22,rater1
❝Dire,99,4,rater1
❝Kein,100,4,rater1
❝Wir ,101,4,rater1
Die #,102,23,rater1
Die #,102,32,rater1
❝Fata,103,4,rater1
❝Unse,104,4,rater1
❝Der ,105,4,rater1
❝Wir ,106,4,rater1
+++ N,107,1,rater1
+++ S,108,4,rater1
Wir w,109,1,rater1
❝Seen,110,4,rater1
❝Wir ,111,4,rater1
Lerne,112,4,rater1
Grazi,113,4,rater1
+++ W,114,4,rater1
📣 Uns,115,4,rater1
+++ #,116,4,rater1
+++ V,117,4,rater1
Das n,118,4,rater1
++ #O,119,4,rater1
++ #O,119,5,rater1
Inter,120,4,rater1
+++ D,121,4,rater1
Heute,122,4,rater1
Hambu,123,4,rater1
+++ #,124,4,rater1
Korre,125,4,rater1
++ Ei,126,5,rater1
++ Un,127,5,rater1
Sehen,128,4,rater1
Die S,129,4,rater1
Ich ü,130,4,rater1
»Für ,131,4,rater1
Leugn,132,23,rater1
Es gi,133,23,rater1
#Öste,134,4,rater1
»Wir ,135,4,rater1
++ Di,136,5,rater1
+++ M,137,4,rater1
📺-Tip,138,4,rater1
+++ V,139,4,rater1
+++ U,140,4,rater1
Skand,141,4,rater1
Skand,141,5,rater1
Verfa,142,23,rater1
❝Sinn,143,23,rater1
Lehre,144,5,rater1
Nur s,145,4,rater1
Freun,146,4,rater1
+++ #,147,4,rater1
++ Za,148,1,rater1
.@M_H,149,4,rater1
+++ #,150,23,rater1
Und s,151,22,rater1
Unser,152,4,rater1
Inter,153,4,rater1
Bei s,154,4,rater1
++ Fe,155,1,rater1
Ausge,156,4,rater1
+++ U,157,4,rater1
+++ #,158,4,rater1
+++ 1,159,4,rater1
Schlu,160,32,rater1
❝Die ,161,23,rater1
+++ #,162,4,rater1
++ 🇦🇹,163,4,rater1
+++ S,164,1,rater1
„Bürg,165,23,rater1
Das i,166,4,rater1
+++ #,167,4,rater1
📊 #Af,168,4,rater1
Eine ,169,4,rater1
Was k,170,23,rater1
+++ Z,171,33,rater1
+++ 🎦,172,4,rater1
"""Rech",173,23,rater1
++ Ve,174,23,rater1
+++ 1,175,4,rater1
+++Ph,176,23,rater1
Guten,177,4,rater1
++ #A,178,4,rater1
+++ A,179,4,rater1
Jusos,180,4,rater1
