© Der Bundeswahlleiter, Wiesbaden 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 2017 nach kreisfreien Städten und Landkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du.;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01001;Flensburg, Stadt;70105;49694;485;49209;15140;15175;5316;5958;0;3421;3441;0;0;452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;306;423;49271;13382;12142;5699;7416;0;5073;3702;0;108;250;0;100;957;0;0;0;20;0;0;0;0;0;0;422;0;0;0;0;0;0;0;0;0;0
SH;01002;Kiel, Landeshauptstadt;186988;138481;1453;137028;40422;43057;10511;20090;0;10072;8478;0;0;0;0;0;3823;0;0;0;252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;0;0;1113;137368;35525;33093;14699;23995;0;15697;9524;0;237;488;0;322;3046;0;0;0;143;0;0;0;0;0;0;599;0;0;0;0;0;0;0;0;0;0
SH;01003;Lübeck, Hansestadt;166673;118981;2093;116888;40513;40097;0;15515;0;7460;10088;0;0;2313;0;0;0;0;0;0;902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1102;117879;34108;30109;11431;15223;0;12666;10461;0;320;981;0;238;1737;0;0;0;158;0;0;0;0;0;0;447;0;0;0;0;0;0;0;0;0;0
SH;01004;Neumünster, Stadt;60378;40325;424;39901;15128;12159;2408;2879;0;2880;3955;0;0;492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464;39861;12407;10252;2831;4179;0;4830;4124;0;254;247;0;60;453;0;0;0;31;0;0;0;0;0;0;193;0;0;0;0;0;0;0;0;0;0
SH;01051;Dithmarschen;107148;78004;739;77265;32491;20348;4066;4700;0;8647;6034;0;0;938;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;667;77337;28400;18087;4764;6222;0;11263;6626;0;233;573;0;76;768;0;0;0;39;0;0;0;0;0;0;286;0;0;0;0;0;0;0;0;0;0
SH;01053;Herzogtum Lauenburg;151988;117615;1016;116599;46081;32053;5378;11651;0;8758;11094;0;0;1532;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;881;116734;39942;26812;7733;12222;0;14922;11929;0;358;884;0;285;1311;0;0;0;41;0;0;0;0;0;0;295;0;0;0;0;0;0;0;0;0;0
SH;01054;Nordfriesland;131595;99133;907;98226;45158;24234;4979;10316;0;7442;5091;0;0;1006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;785;98348;38063;21878;6177;11904;0;12384;5710;0;202;580;0;137;979;0;0;0;44;0;0;0;0;0;0;290;0;0;0;0;0;0;0;0;0;0
SH;01055;Ostholstein;165689;125799;1056;124743;51782;38744;5452;8528;0;9143;9631;0;0;1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;462;0;0;0;0;0;1058;124741;44414;30908;7520;12120;0;16608;10553;0;271;798;0;156;1074;0;0;0;35;0;0;0;0;0;0;284;0;0;0;0;0;0;0;0;0;0
SH;01056;Pinneberg;238533;187715;1620;186095;73816;56460;11270;15379;0;14441;14729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1343;186372;63863;42729;13111;21336;0;24735;15977;0;446;954;0;428;2200;0;0;0;52;0;0;0;0;0;0;541;0;0;0;0;0;0;0;0;0;0
