afd_votes,votes_total,foreigner_n
11647,170396,16100
9023,138075,12600
11176,130875,11000
11578,156268,9299
10390,150173,25099
11161,130514,13000
15977,186372,26000
17166,191937,18300
11780,137273,9400
18791,191971,20500
11549,129805,18800
25692,155412,16299
25686,145108,7500
25170,162306,10400
32881,167411,10000
35597,154807,9300
27389,142477,6000
13950,174340,71700
8034,145076,37500
9120,155141,29700
10919,177403,26900
16740,171156,37500
17614,154154,58899
12875,141037,12599
14620,174953,28699
12492,137585,10699
12624,174668,18500
16393,168818,23800
12652,140716,12199
13479,151639,17599
9699,178827,29300
13146,162519,27500
12433,147273,15399
14671,151790,14500
11669,126097,15300
16048,160858,15799
12495,140138,14300
10939,150192,23800
9489,151006,22500
14943,145646,15799
12227,133867,40300
11245,148090,43999
18364,180357,26899
17549,160978,15800
18288,167610,16400
14052,138650,17300
19387,187010,25800
15695,168295,19000
19117,155710,21299
12266,146548,24400
14862,136010,23000
15113,149522,17000
13443,169317,22600
15716,185913,49700
17604,145826,52300
22185,118408,5699
26608,128039,7099
33982,182563,8699
34702,167678,7199
22631,126138,7100
26133,193865,16399
38900,184910,10699
30475,137987,14400
34902,130027,8200
30564,121144,4099
18419,109864,6800
27947,148085,7599
23859,141530,8899
26053,160769,16199
24310,121666,7000
32346,145518,8100
26735,150299,17099
31780,129199,9100
32982,137927,7000
12319,149420,104300
23291,186409,31000
18484,134913,35400
18469,130658,40199
15879,178717,27800
12418,156816,50500
17122,179097,54500
15666,140810,72500
10865,171840,66500
26259,155337,14099
29600,136924,16900
24585,146900,31900
8269,139784,38599
14848,171601,33600
12312,140891,27099
14432,150136,25400
18091,189879,38900
18324,186199,28300
12282,138631,62599
9964,197078,41799
11731,149523,59199
13130,179207,46600
18238,182749,30400
15225,173161,25399
16409,155033,23900
13814,172947,24300
14984,153667,54100
16434,148559,55800
16221,162468,43500
15053,159165,27499
11926,124443,25599
12029,171910,61000
12968,142546,53599
14893,158773,38000
12373,130836,34099
12104,154179,29499
12841,172016,26199
11621,167653,41199
14325,159095,19199
12172,132412,29100
13549,119621,39300
15719,101888,48199
18559,148852,33299
16200,141660,30500
16339,109215,45699
12735,152409,26600
14776,122884,20700
17386,139515,24800
20113,118066,44299
9718,153570,27000
18719,150528,25199
9401,157053,17900
9506,155826,13600
10341,151387,19299
9392,190122,29300
12024,162139,24499
15082,175031,37700
16478,184603,44600
18097,167031,25200
15825,149668,17600
14147,127537,17200
15192,158102,18599
18483,185897,27500
17622,148785,40800
13190,136424,19700
15189,155734,31500
16994,126558,30400
15197,154923,35700
15510,142416,56299
14690,149581,21599
19067,169703,38100
16165,173076,27100
12216,152814,21100
17160,160964,27500
13847,151288,30600
16682,144207,31000
31302,116556,5500
33289,159937,20399
27769,173798,21500
42824,159392,5299
49618,150919,6599
52040,158833,5200
50553,153713,9000
54746,154371,6599
41796,181068,20199
43119,185136,11599
46521,148887,7800
35456,145888,17099
36741,137168,2699
47948,163962,5899
38955,148817,7400
37218,140831,5900
16410,140730,15099
17286,165395,36100
17173,131063,14700
18504,143054,13400
16127,140784,24399
20930,152795,24499
20357,164311,28399
25134,158626,19099
20921,136022,19899
16132,144609,31400
15895,137220,26699
20364,171621,31300
15496,138226,48299
18625,132320,41000
16395,158860,40800
13329,143049,115100
13737,170775,90200
15943,131180,52599
19051,161293,87399
18685,190532,52100
22259,182234,39500
19931,154080,30799
32854,155929,7300
35821,160880,9000
30421,153336,11600
35093,145876,11500
30166,166151,16699
47274,174394,9000
43739,169716,9399
38677,168007,8800
19273,179082,22800
14436,149988,16300
13697,149622,23099
12022,133703,14099
16195,138198,18000
10058,125050,18299
11926,149881,31999
17822,161759,20900
16535,200879,48199
21978,167663,27700
24644,159499,53400
22080,174345,25800
23207,169755,24199
18648,132714,13900
23190,170401,24599
18305,125909,20699
19367,162608,29099
25178,185634,40199
21938,189842,41300
27671,182840,36600
14901,173092,103800
15940,186047,92699
14584,169770,82300
14879,192595,87399
18457,196362,52899
25698,185456,35099
15407,131817,24899
17450,176259,32199
19183,159568,29700
16143,133560,21100
22765,118755,11200
28059,191694,34900
20968,130571,16299
20381,123504,18900
23580,128207,15200
21540,168203,17600
25628,197663,32199
28007,161282,14500
17407,129339,9900
18394,144418,16300
13564,126522,11099
14210,122179,10199
16606,125791,14599
18000,133911,7800
21734,184421,24000
13953,147370,26599
23032,197343,33199
14503,145304,60900
18679,130978,47400
21357,184545,20300
16634,143378,24599
19653,169903,10899
16856,155959,19900
18904,154940,19100
15769,181902,20000
21013,152057,57800
27042,197838,25500
21588,146826,19400
27326,180762,38300
18528,175341,31199
25383,190159,31699
11455,159974,64700
14894,137803,84100
22854,194896,59800
14692,134380,41800
20544,166609,42400
19956,135938,36299
22870,176892,46899
19780,173985,56599
24124,184220,44000
30088,183282,56899
24801,169459,27199
19437,135304,27900
20614,168210,33300
16712,160690,55500
20887,167216,31000
19700,155235,35800
16849,177832,47800
18308,142721,69200
22288,161214,21800
20942,154652,29899
22794,152694,31500
27105,166072,50900
22714,151600,31700
14101,179518,44900
18457,175691,40399
19139,166443,26000
17799,153635,26100
20927,150048,31400
15348,123726,30000
16188,157257,37200
13299,135128,30200
20174,156066,39300
15885,158407,32899
20430,175842,43399
16235,130272,19200
14163,135934,26800
14899,144785,24000
18813,137726,28099
14043,145431,34800
15497,157540,24699
12628,138710,11199
16744,143523,20699
