date,hits,keyword,geo,gprop,category
2014-04-26T22:00:00Z,1,statistical modeling,world,web,0
2014-05-03T22:00:00Z,1,statistical modeling,world,web,0
2014-05-10T22:00:00Z,1,statistical modeling,world,web,0
2014-05-17T22:00:00Z,1,statistical modeling,world,web,0
2014-05-24T22:00:00Z,1,statistical modeling,world,web,0
2014-05-31T22:00:00Z,1,statistical modeling,world,web,0
2014-06-07T22:00:00Z,1,statistical modeling,world,web,0
2014-06-14T22:00:00Z,1,statistical modeling,world,web,0
2014-06-21T22:00:00Z,1,statistical modeling,world,web,0
2014-06-28T22:00:00Z,1,statistical modeling,world,web,0
2014-07-05T22:00:00Z,1,statistical modeling,world,web,0
2014-07-12T22:00:00Z,1,statistical modeling,world,web,0
2014-07-19T22:00:00Z,1,statistical modeling,world,web,0
2014-07-26T22:00:00Z,1,statistical modeling,world,web,0
2014-08-02T22:00:00Z,1,statistical modeling,world,web,0
2014-08-09T22:00:00Z,1,statistical modeling,world,web,0
2014-08-16T22:00:00Z,1,statistical modeling,world,web,0
2014-08-23T22:00:00Z,1,statistical modeling,world,web,0
2014-08-30T22:00:00Z,1,statistical modeling,world,web,0
2014-09-06T22:00:00Z,1,statistical modeling,world,web,0
2014-09-13T22:00:00Z,1,statistical modeling,world,web,0
2014-09-20T22:00:00Z,1,statistical modeling,world,web,0
2014-09-27T22:00:00Z,1,statistical modeling,world,web,0
2014-10-04T22:00:00Z,1,statistical modeling,world,web,0
2014-10-11T22:00:00Z,1,statistical modeling,world,web,0
2014-10-18T22:00:00Z,1,statistical modeling,world,web,0
2014-10-25T22:00:00Z,1,statistical modeling,world,web,0
2014-11-01T23:00:00Z,1,statistical modeling,world,web,0
2014-11-08T23:00:00Z,1,statistical modeling,world,web,0
2014-11-15T23:00:00Z,1,statistical modeling,world,web,0
2014-11-22T23:00:00Z,1,statistical modeling,world,web,0
2014-11-29T23:00:00Z,1,statistical modeling,world,web,0
2014-12-06T23:00:00Z,1,statistical modeling,world,web,0
2014-12-13T23:00:00Z,1,statistical modeling,world,web,0
2014-12-20T23:00:00Z,1,statistical modeling,world,web,0
2014-12-27T23:00:00Z,1,statistical modeling,world,web,0
2015-01-03T23:00:00Z,1,statistical modeling,world,web,0
2015-01-10T23:00:00Z,1,statistical modeling,world,web,0
2015-01-17T23:00:00Z,1,statistical modeling,world,web,0
2015-01-24T23:00:00Z,1,statistical modeling,world,web,0
2015-01-31T23:00:00Z,1,statistical modeling,world,web,0
2015-02-07T23:00:00Z,1,statistical modeling,world,web,0
2015-02-14T23:00:00Z,1,statistical modeling,world,web,0
2015-02-21T23:00:00Z,1,statistical modeling,world,web,0
2015-02-28T23:00:00Z,1,statistical modeling,world,web,0
2015-03-07T23:00:00Z,1,statistical modeling,world,web,0
2015-03-14T23:00:00Z,1,statistical modeling,world,web,0
2015-03-21T23:00:00Z,1,statistical modeling,world,web,0
2015-03-28T23:00:00Z,1,statistical modeling,world,web,0
2015-04-04T22:00:00Z,1,statistical modeling,world,web,0
2015-04-11T22:00:00Z,1,statistical modeling,world,web,0
2015-04-18T22:00:00Z,1,statistical modeling,world,web,0
2015-04-25T22:00:00Z,1,statistical modeling,world,web,0
2015-05-02T22:00:00Z,1,statistical modeling,world,web,0
2015-05-09T22:00:00Z,1,statistical modeling,world,web,0
2015-05-16T22:00:00Z,1,statistical modeling,world,web,0
2015-05-23T22:00:00Z,1,statistical modeling,world,web,0
2015-05-30T22:00:00Z,1,statistical modeling,world,web,0
2015-06-06T22:00:00Z,1,statistical modeling,world,web,0
2015-06-13T22:00:00Z,1,statistical modeling,world,web,0
2015-06-20T22:00:00Z,1,statistical modeling,world,web,0
2015-06-27T22:00:00Z,1,statistical modeling,world,web,0
2015-07-04T22:00:00Z,1,statistical modeling,world,web,0
2015-07-11T22:00:00Z,1,statistical modeling,world,web,0
2015-07-18T22:00:00Z,1,statistical modeling,world,web,0
2015-07-25T22:00:00Z,1,statistical modeling,world,web,0
2015-08-01T22:00:00Z,1,statistical modeling,world,web,0
2015-08-08T22:00:00Z,1,statistical modeling,world,web,0
2015-08-15T22:00:00Z,1,statistical modeling,world,web,0
2015-08-22T22:00:00Z,1,statistical modeling,world,web,0
2015-08-29T22:00:00Z,1,statistical modeling,world,web,0
2015-09-05T22:00:00Z,1,statistical modeling,world,web,0
2015-09-12T22:00:00Z,1,statistical modeling,world,web,0
2015-09-19T22:00:00Z,1,statistical modeling,world,web,0
2015-09-26T22:00:00Z,1,statistical modeling,world,web,0
2015-10-03T22:00:00Z,1,statistical modeling,world,web,0
2015-10-10T22:00:00Z,1,statistical modeling,world,web,0
2015-10-17T22:00:00Z,1,statistical modeling,world,web,0
2015-10-24T22:00:00Z,1,statistical modeling,world,web,0
2015-10-31T23:00:00Z,1,statistical modeling,world,web,0
2015-11-07T23:00:00Z,1,statistical modeling,world,web,0
2015-11-14T23:00:00Z,1,statistical modeling,world,web,0
2015-11-21T23:00:00Z,1,statistical modeling,world,web,0
2015-11-28T23:00:00Z,1,statistical modeling,world,web,0
2015-12-05T23:00:00Z,1,statistical modeling,world,web,0
2015-12-12T23:00:00Z,1,statistical modeling,world,web,0
2015-12-19T23:00:00Z,1,statistical modeling,world,web,0
2015-12-26T23:00:00Z,1,statistical modeling,world,web,0
2016-01-02T23:00:00Z,1,statistical modeling,world,web,0
2016-01-09T23:00:00Z,1,statistical modeling,world,web,0
2016-01-16T23:00:00Z,1,statistical modeling,world,web,0
2016-01-23T23:00:00Z,1,statistical modeling,world,web,0
2016-01-30T23:00:00Z,1,statistical modeling,world,web,0
2016-02-06T23:00:00Z,1,statistical modeling,world,web,0
2016-02-13T23:00:00Z,1,statistical modeling,world,web,0
2016-02-20T23:00:00Z,1,statistical modeling,world,web,0
2016-02-27T23:00:00Z,1,statistical modeling,world,web,0
2016-03-05T23:00:00Z,1,statistical modeling,world,web,0
2016-03-12T23:00:00Z,1,statistical modeling,world,web,0
2016-03-19T23:00:00Z,1,statistical modeling,world,web,0
2016-03-26T23:00:00Z,1,statistical modeling,world,web,0
2016-04-02T22:00:00Z,1,statistical modeling,world,web,0
2016-04-09T22:00:00Z,1,statistical modeling,world,web,0
2016-04-16T22:00:00Z,1,statistical modeling,world,web,0
2016-04-23T22:00:00Z,1,statistical modeling,world,web,0
2016-04-30T22:00:00Z,1,statistical modeling,world,web,0
2016-05-07T22:00:00Z,1,statistical modeling,world,web,0
2016-05-14T22:00:00Z,1,statistical modeling,world,web,0
2016-05-21T22:00:00Z,1,statistical modeling,world,web,0
2016-05-28T22:00:00Z,1,statistical modeling,world,web,0
2016-06-04T22:00:00Z,1,statistical modeling,world,web,0
2016-06-11T22:00:00Z,1,statistical modeling,world,web,0
2016-06-18T22:00:00Z,1,statistical modeling,world,web,0
2016-06-25T22:00:00Z,1,statistical modeling,world,web,0
2016-07-02T22:00:00Z,1,statistical modeling,world,web,0
2016-07-09T22:00:00Z,1,statistical modeling,world,web,0
2016-07-16T22:00:00Z,1,statistical modeling,world,web,0
2016-07-23T22:00:00Z,1,statistical modeling,world,web,0
2016-07-30T22:00:00Z,1,statistical modeling,world,web,0
2016-08-06T22:00:00Z,1,statistical modeling,world,web,0
2016-08-13T22:00:00Z,1,statistical modeling,world,web,0
2016-08-20T22:00:00Z,1,statistical modeling,world,web,0
2016-08-27T22:00:00Z,1,statistical modeling,world,web,0
2016-09-03T22:00:00Z,1,statistical modeling,world,web,0
2016-09-10T22:00:00Z,1,statistical modeling,world,web,0
2016-09-17T22:00:00Z,1,statistical modeling,world,web,0
2016-09-24T22:00:00Z,1,statistical modeling,world,web,0
2016-10-01T22:00:00Z,1,statistical modeling,world,web,0
2016-10-08T22:00:00Z,1,statistical modeling,world,web,0
2016-10-15T22:00:00Z,1,statistical modeling,world,web,0
2016-10-22T22:00:00Z,1,statistical modeling,world,web,0
2016-10-29T22:00:00Z,1,statistical modeling,world,web,0
2016-11-05T23:00:00Z,1,statistical modeling,world,web,0
2016-11-12T23:00:00Z,1,statistical modeling,world,web,0
2016-11-19T23:00:00Z,1,statistical modeling,world,web,0
2016-11-26T23:00:00Z,1,statistical modeling,world,web,0
2016-12-03T23:00:00Z,1,statistical modeling,world,web,0
2016-12-10T23:00:00Z,1,statistical modeling,world,web,0
2016-12-17T23:00:00Z,1,statistical modeling,world,web,0
2016-12-24T23:00:00Z,1,statistical modeling,world,web,0
2016-12-31T23:00:00Z,1,statistical modeling,world,web,0
2017-01-07T23:00:00Z,1,statistical modeling,world,web,0
2017-01-14T23:00:00Z,1,statistical modeling,world,web,0
2017-01-21T23:00:00Z,1,statistical modeling,world,web,0
2017-01-28T23:00:00Z,1,statistical modeling,world,web,0
2017-02-04T23:00:00Z,1,statistical modeling,world,web,0
2017-02-11T23:00:00Z,1,statistical modeling,world,web,0
2017-02-18T23:00:00Z,1,statistical modeling,world,web,0
2017-02-25T23:00:00Z,1,statistical modeling,world,web,0
2017-03-04T23:00:00Z,1,statistical modeling,world,web,0
2017-03-11T23:00:00Z,1,statistical modeling,world,web,0
2017-03-18T23:00:00Z,1,statistical modeling,world,web,0
2017-03-25T23:00:00Z,1,statistical modeling,world,web,0
2017-04-01T22:00:00Z,1,statistical modeling,world,web,0
2017-04-08T22:00:00Z,1,statistical modeling,world,web,0
2017-04-15T22:00:00Z,1,statistical modeling,world,web,0
2017-04-22T22:00:00Z,1,statistical modeling,world,web,0
2017-04-29T22:00:00Z,1,statistical modeling,world,web,0
2017-05-06T22:00:00Z,1,statistical modeling,world,web,0
2017-05-13T22:00:00Z,1,statistical modeling,world,web,0
2017-05-20T22:00:00Z,1,statistical modeling,world,web,0
2017-05-27T22:00:00Z,1,statistical modeling,world,web,0
2017-06-03T22:00:00Z,1,statistical modeling,world,web,0
2017-06-10T22:00:00Z,1,statistical modeling,world,web,0
2017-06-17T22:00:00Z,1,statistical modeling,world,web,0
2017-06-24T22:00:00Z,1,statistical modeling,world,web,0
2017-07-01T22:00:00Z,1,statistical modeling,world,web,0
2017-07-08T22:00:00Z,1,statistical modeling,world,web,0
2017-07-15T22:00:00Z,1,statistical modeling,world,web,0
2017-07-22T22:00:00Z,1,statistical modeling,world,web,0
2017-07-29T22:00:00Z,1,statistical modeling,world,web,0
2017-08-05T22:00:00Z,1,statistical modeling,world,web,0
2017-08-12T22:00:00Z,1,statistical modeling,world,web,0
2017-08-19T22:00:00Z,1,statistical modeling,world,web,0
2017-08-26T22:00:00Z,1,statistical modeling,world,web,0
2017-09-02T22:00:00Z,1,statistical modeling,world,web,0
2017-09-09T22:00:00Z,1,statistical modeling,world,web,0
2017-09-16T22:00:00Z,1,statistical modeling,world,web,0
2017-09-23T22:00:00Z,1,statistical modeling,world,web,0
2017-09-30T22:00:00Z,1,statistical modeling,world,web,0
2017-10-07T22:00:00Z,1,statistical modeling,world,web,0
2017-10-14T22:00:00Z,1,statistical modeling,world,web,0
2017-10-21T22:00:00Z,1,statistical modeling,world,web,0
2017-10-28T22:00:00Z,1,statistical modeling,world,web,0
2017-11-04T23:00:00Z,1,statistical modeling,world,web,0
2017-11-11T23:00:00Z,1,statistical modeling,world,web,0
2017-11-18T23:00:00Z,1,statistical modeling,world,web,0
2017-11-25T23:00:00Z,1,statistical modeling,world,web,0
2017-12-02T23:00:00Z,1,statistical modeling,world,web,0
2017-12-09T23:00:00Z,1,statistical modeling,world,web,0
2017-12-16T23:00:00Z,1,statistical modeling,world,web,0
2017-12-23T23:00:00Z,1,statistical modeling,world,web,0
2017-12-30T23:00:00Z,1,statistical modeling,world,web,0
2018-01-06T23:00:00Z,1,statistical modeling,world,web,0
2018-01-13T23:00:00Z,1,statistical modeling,world,web,0
2018-01-20T23:00:00Z,1,statistical modeling,world,web,0
2018-01-27T23:00:00Z,1,statistical modeling,world,web,0
2018-02-03T23:00:00Z,1,statistical modeling,world,web,0
2018-02-10T23:00:00Z,1,statistical modeling,world,web,0
2018-02-17T23:00:00Z,1,statistical modeling,world,web,0
2018-02-24T23:00:00Z,1,statistical modeling,world,web,0
2018-03-03T23:00:00Z,1,statistical modeling,world,web,0
2018-03-10T23:00:00Z,1,statistical modeling,world,web,0
2018-03-17T23:00:00Z,1,statistical modeling,world,web,0
2018-03-24T23:00:00Z,1,statistical modeling,world,web,0
2018-03-31T22:00:00Z,1,statistical modeling,world,web,0
2018-04-07T22:00:00Z,1,statistical modeling,world,web,0
2018-04-14T22:00:00Z,1,statistical modeling,world,web,0
2018-04-21T22:00:00Z,1,statistical modeling,world,web,0
2018-04-28T22:00:00Z,1,statistical modeling,world,web,0
2018-05-05T22:00:00Z,1,statistical modeling,world,web,0
2018-05-12T22:00:00Z,1,statistical modeling,world,web,0
2018-05-19T22:00:00Z,1,statistical modeling,world,web,0
2018-05-26T22:00:00Z,1,statistical modeling,world,web,0
2018-06-02T22:00:00Z,1,statistical modeling,world,web,0
2018-06-09T22:00:00Z,1,statistical modeling,world,web,0
2018-06-16T22:00:00Z,1,statistical modeling,world,web,0
2018-06-23T22:00:00Z,1,statistical modeling,world,web,0
2018-06-30T22:00:00Z,1,statistical modeling,world,web,0
2018-07-07T22:00:00Z,1,statistical modeling,world,web,0
2018-07-14T22:00:00Z,1,statistical modeling,world,web,0
2018-07-21T22:00:00Z,1,statistical modeling,world,web,0
2018-07-28T22:00:00Z,1,statistical modeling,world,web,0
2018-08-04T22:00:00Z,1,statistical modeling,world,web,0
2018-08-11T22:00:00Z,1,statistical modeling,world,web,0
2018-08-18T22:00:00Z,1,statistical modeling,world,web,0
2018-08-25T22:00:00Z,1,statistical modeling,world,web,0
2018-09-01T22:00:00Z,1,statistical modeling,world,web,0
2018-09-08T22:00:00Z,1,statistical modeling,world,web,0
2018-09-15T22:00:00Z,1,statistical modeling,world,web,0
2018-09-22T22:00:00Z,1,statistical modeling,world,web,0
2018-09-29T22:00:00Z,1,statistical modeling,world,web,0
2018-10-06T22:00:00Z,1,statistical modeling,world,web,0
2018-10-13T22:00:00Z,1,statistical modeling,world,web,0
2018-10-20T22:00:00Z,1,statistical modeling,world,web,0
2018-10-27T22:00:00Z,1,statistical modeling,world,web,0
2018-11-03T23:00:00Z,1,statistical modeling,world,web,0
2018-11-10T23:00:00Z,1,statistical modeling,world,web,0
2018-11-17T23:00:00Z,1,statistical modeling,world,web,0
2018-11-24T23:00:00Z,1,statistical modeling,world,web,0
2018-12-01T23:00:00Z,1,statistical modeling,world,web,0
2018-12-08T23:00:00Z,1,statistical modeling,world,web,0
2018-12-15T23:00:00Z,1,statistical modeling,world,web,0
2018-12-22T23:00:00Z,1,statistical modeling,world,web,0
2018-12-29T23:00:00Z,1,statistical modeling,world,web,0
2019-01-05T23:00:00Z,1,statistical modeling,world,web,0
2019-01-12T23:00:00Z,1,statistical modeling,world,web,0
2019-01-19T23:00:00Z,1,statistical modeling,world,web,0
2019-01-26T23:00:00Z,1,statistical modeling,world,web,0
2019-02-02T23:00:00Z,1,statistical modeling,world,web,0
2019-02-09T23:00:00Z,1,statistical modeling,world,web,0
2019-02-16T23:00:00Z,1,statistical modeling,world,web,0
2019-02-23T23:00:00Z,1,statistical modeling,world,web,0
2019-03-02T23:00:00Z,1,statistical modeling,world,web,0
2019-03-09T23:00:00Z,1,statistical modeling,world,web,0
2019-03-16T23:00:00Z,1,statistical modeling,world,web,0
2019-03-23T23:00:00Z,1,statistical modeling,world,web,0
2019-03-30T23:00:00Z,1,statistical modeling,world,web,0
2019-04-06T22:00:00Z,1,statistical modeling,world,web,0
2019-04-13T22:00:00Z,1,statistical modeling,world,web,0
2019-04-20T22:00:00Z,1,statistical modeling,world,web,0
2014-04-26T22:00:00Z,16,machine learning,world,web,0
2014-05-03T22:00:00Z,18,machine learning,world,web,0
2014-05-10T22:00:00Z,18,machine learning,world,web,0
2014-05-17T22:00:00Z,16,machine learning,world,web,0
2014-05-24T22:00:00Z,16,machine learning,world,web,0
2014-05-31T22:00:00Z,16,machine learning,world,web,0
2014-06-07T22:00:00Z,14,machine learning,world,web,0
2014-06-14T22:00:00Z,16,machine learning,world,web,0
2014-06-21T22:00:00Z,16,machine learning,world,web,0
2014-06-28T22:00:00Z,13,machine learning,world,web,0
