state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id
Schleswig-Holstein,1,Flensburg – Schleswig,282800,266700,16100,5,3478440,28280,20265,20361,7,170396,11647,0.06835254348693631,no,0,15
Schleswig-Holstein,2,Nordfriesland – Dithmarschen Nord,232300,219700,12600,5,3066360,18584,22159,16725,7,138075,9023,0.06534854245880861,no,0,15
Schleswig-Holstein,3,Steinburg – Dithmarschen Süd,220800,209800,11000,5,2627520,20313,20896,14572,6,130875,11176,0.08539446036294174,no,0,15
Schleswig-Holstein,4,Rendsburg-Eckernförde,248700,239400,9299,3,2487000,21139,22093,12683,5,156268,11578,0.07409066475542017,no,0,15
Schleswig-Holstein,5,Kiel,268000,242900,25099,9,3189200,48240,18637,23584,8,150173,10390,0.06918687114194962,no,0,15
Schleswig-Holstein,6,Plön – Neumünster,219800,206800,13000,5,4615800,23738,20395,15166,6,130514,11161,0.08551573011324455,no,0,15
Schleswig-Holstein,7,Pinneberg,307500,281500,26000,8,4028250,46125,23766,15990,5,186372,15977,0.08572639666902754,no,0,15
Schleswig-Holstein,8,Segeberg – Stormarn-Mitte,313200,294900,18300,5,2881439,41655,22791,14407,4,191937,17166,0.08943559605495553,no,0,15
Schleswig-Holstein,9,Ostholstein – Stormarn-Nord,219300,209900,9400,4,2894760,18421,21962,13596,6,137273,11780,0.0858143990442403,no,0,15
Schleswig-Holstein,10,Herzogtum Lauenburg – Stormarn-Süd,311100,290600,20500,6,5226480,39509,23628,14932,4,191971,18791,0.09788457631621443,no,0,15
Schleswig-Holstein,11,Lübeck,235300,216500,18800,8,2870660,38824,19238,20471,8,129805,11549,0.08897191941758792,no,0,15
Mecklenburg-Vorpommern,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,270900,254600,16299,6,7260120,12732,18008,21130,7,155412,25692,0.1653154196587136,yes,1,8
Mecklenburg-Vorpommern,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,248800,241300,7500,3,2338720,8956,18081,17664,7,145108,25686,0.17701298343302918,yes,1,8
Mecklenburg-Vorpommern,14,Rostock – Landkreis Rostock II,271600,261200,10400,3,2688840,14938,16879,24172,8,162306,25170,0.15507744630512735,yes,1,8
Mecklenburg-Vorpommern,15,Vorpommern-Rügen – Vorpommern-Greifswald I,292300,282300,10000,3,3244530,9645,17287,34783,11,167411,32881,0.19640883812891627,yes,1,8
Mecklenburg-Vorpommern,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,273300,264000,9300,3,2241060,9018,16955,31976,11,154807,35597,0.2299443823599708,yes,1,8
Mecklenburg-Vorpommern,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,255600,249600,6000,2,2172600,6645,17802,26071,10,142477,27389,0.1922345361005636,yes,1,8
Hamburg,18,Hamburg-Mitte,350100,278400,71700,20,3921120,99078,23596,24857,7,174340,13950,0.08001606057129747,no,0,6
Hamburg,19,Hamburg-Altona,260300,222800,37500,14,2915360,73664,23596,18481,7,145076,8034,0.055377870909040776,no,0,6
Hamburg,20,Hamburg-Eimsbüttel,252900,223200,29700,11,2832480,71570,23596,17955,7,155141,9120,0.058785234077387664,no,0,6
Hamburg,21,Hamburg-Nord,279800,252900,26900,9,3133759,79183,23596,19865,7,177403,10919,0.06154912825600469,no,0,6
Hamburg,22,Hamburg-Wandsbek,314700,277200,37500,11,3524640,89060,23596,22343,7,171156,16740,0.09780551076211176,no,0,6
Hamburg,23,Hamburg-Bergedorf – Harburg,329500,270600,58899,17,3690399,93248,23596,23394,7,154154,17614,0.11426236101560777,no,0,6
Niedersachsen,24,Aurich – Emden,239900,227300,12599,5,2902790,21111,18428,18712,7,141037,12875,0.09128810170380822,no,0,9
Niedersachsen,25,Unterems,314500,285800,28699,9,4340100,42143,18302,15725,5,174953,14620,0.08356530039496322,no,0,9
Niedersachsen,26,Friesland – Wilhelmshaven – Wittmund,231100,220400,10699,4,3258509,22878,18657,18950,8,137585,12492,0.09079478140785696,no,0,9
Niedersachsen,27,Oldenburg – Ammerland,285300,266800,18500,6,4850100,39656,19758,17688,6,174668,12624,0.07227425744841642,no,0,9
Niedersachsen,28,Delmenhorst – Wesermarsch – Oldenburg-Land,294200,270400,23800,8,4795460,44424,20248,19417,6,168818,16393,0.09710457415678422,no,0,9
