orte,lon,lat
"Aachen, Germany",6.083886800000001,50.7753455
"Augsburg, Germany",10.89779,48.3705449
"Berlin, Germany",13.404954,52.52000659999999
"Bochum, Germany",7.216236299999999,51.4818445
"Bonn, Germany",7.0982068,50.73743
"Bremen, Germany",8.8016936,53.07929619999999
"Dortmund, Germany",7.465298100000001,51.5135872
"Duisburg, Germany",6.762329299999999,51.4344079
"Düsseldorf, Germany",6.7734556,51.2277411
"Essen, Germany",7.0115552,51.4556432
"Frankfurt, Germany",8.6821267,50.1109221
"Gütersloh, Germany",8.385753500000002,51.9032375
"Hagen, Germany",7.4632841,51.3670777
"Hamburg, Germany",9.9936819,53.5510846
"Hannover, Germany",9.732010400000002,52.3758916
"Herne, Germany",7.200914699999999,51.5368948
"Karlsruhe, Germany",8.4036527,49.0068901
"Kassel, Germany",9.4797461,51.3127114
"Köln, Germany",6.9602786,50.937531
"Leipzig, Germany",12.3730747,51.3396955
"Mainz, Germany",8.2472526,49.9928617
"Mannheim, Germany",8.466039499999999,49.4874592
"Marl, Germany",7.1060218,51.65912340000001
"München, Germany",11.5819805,48.1351253
"Münster, Germany",7.6261347,51.9606649
"Neuss, Germany",6.6879511,51.2041968
"Nürnberg, Germany",11.0766654,49.4521018
"Saarbrücken, Germany",6.996932699999999,49.24015720000001
"Siegen, Germany",8.020959099999999,50.8838492
"Stuttgart, Germany",9.1829321,48.7758459
"Wesel, Germany",6.6295679,51.6643079
"Wuppertal, Germany",7.1507635999999994,51.2562128
"Wien, Germany",16.3641405,48.2016435
