state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,total_n_c,germans_n_c,foreigner_n_c,for_prop_c,pop_move_n_c,pop_migr_background_n_c,income_c,unemp_n_c,unemp_prop_c,votes_total_c,afd_votes_c,afd_prop_c
Schleswig-Holstein,1,Flensburg – Schleswig,282800,266700,16100,5,3478440,28280,20265,20361,7,170396,11647,0.06835254348693631,no,0,15,7966.230769230751,20800.34113712376,-12833.732441471573,-4.645484949832776,-331944.0234113713,-24899.662207357862,-775.0301003344466,3620.5451505016717,1.3210702341137122,14854.672240802669,-8008.832775919731,-0.05923252906333726
Schleswig-Holstein,2,Nordfriesland – Dithmarschen Nord,232300,219700,12600,5,3066360,18584,22159,16725,7,138075,9023,0.06534854245880861,no,0,15,-42533.76923076925,-26199.65886287624,-16333.732441471573,-4.645484949832776,-744024.0234113713,-34595.66220735786,1118.9698996655534,-15.454849498328258,1.3210702341137122,-17466.32775919733,-10632.832775919731,-0.06223653009146496
Schleswig-Holstein,3,Steinburg – Dithmarschen Süd,220800,209800,11000,5,2627520,20313,20896,14572,6,130875,11176,0.08539446036294174,no,0,15,-54033.76923076925,-36099.65886287624,-17933.732441471573,-4.645484949832776,-1182864.0234113713,-32866.66220735786,-144.03010033444662,-2168.4548494983283,0.32107023411371216,-24666.32775919733,-8479.832775919731,-0.04219061218733183
Schleswig-Holstein,4,Rendsburg-Eckernförde,248700,239400,9299,3,2487000,21139,22093,12683,5,156268,11578,0.07409066475542017,no,0,15,-26133.76923076925,-6499.65886287624,-19634.732441471573,-6.645484949832776,-1323384.0234113713,-32040.662207357862,1052.9698996655534,-4057.4548494983283,-0.6789297658862878,726.672240802669,-8077.832775919731,-0.0534944077948534
Schleswig-Holstein,5,Kiel,268000,242900,25099,9,3189200,48240,18637,23584,8,150173,10390,0.06918687114194962,no,0,15,-6833.769230769249,-2999.65886287624,-3834.732441471573,-0.6454849498327757,-621184.0234113713,-4939.662207357862,-2403.0301003344466,6843.545150501672,2.321070234113712,-5368.327759197331,-9265.832775919731,-0.058398201408323955
Schleswig-Holstein,6,Plön – Neumünster,219800,206800,13000,5,4615800,23738,20395,15166,6,130514,11161,0.08551573011324455,no,0,15,-55033.76923076925,-39099.65886287624,-15933.732441471573,-4.645484949832776,805415.9765886287,-29441.662207357862,-645.0301003344466,-1574.4548494983283,0.32107023411371216,-25027.32775919733,-8494.832775919731,-0.04206934243702902
Schleswig-Holstein,7,Pinneberg,307500,281500,26000,8,4028250,46125,23766,15990,5,186372,15977,0.08572639666902754,no,0,15,32666.23076923075,35600.34113712376,-2933.732441471573,-1.6454849498327757,217865.97658862872,-7054.662207357862,2725.9698996655534,-750.4548494983283,-0.6789297658862878,30830.67224080267,-3678.832775919731,-0.04185867588124603
Schleswig-Holstein,8,Segeberg – Stormarn-Mitte,313200,294900,18300,5,2881439,41655,22791,14407,4,191937,17166,0.08943559605495553,no,0,15,38366.23076923075,49000.34113712376,-10633.732441471573,-4.645484949832776,-928945.0234113713,-11524.662207357862,1750.9698996655534,-2333.4548494983283,-1.6789297658862878,36395.67224080267,-2489.832775919731,-0.03814947649531804
Schleswig-Holstein,9,Ostholstein – Stormarn-Nord,219300,209900,9400,4,2894760,18421,21962,13596,6,137273,11780,0.0858143990442403,no,0,15,-55533.76923076925,-35999.65886287624,-19533.732441471573,-5.645484949832776,-915624.0234113713,-34758.66220735786,921.9698996655534,-3144.4548494983283,0.32107023411371216,-18268.32775919733,-7875.832775919731,-0.041770673506033265
Schleswig-Holstein,10,Herzogtum Lauenburg – Stormarn-Süd,311100,290600,20500,6,5226480,39509,23628,14932,4,191971,18791,0.09788457631621443,no,0,15,36266.23076923075,44700.34113712376,-8433.732441471573,-3.6454849498327757,1416095.9765886287,-13670.662207357862,2587.9698996655534,-1808.4548494983283,-1.6789297658862878,36429.67224080267,-864.8327759197309,-0.02970049623405914
