state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,total_n_z,germans_n_z,foreigner_n_z,for_prop_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,unemp_prop_z,votes_total_z,afd_votes_z,afd_prop_z
Schleswig-Holstein,1,Flensburg – Schleswig,282800,266700,16100,5,3478440,28280,20265,20361,7,170396,11647,0.06835254348693631,no,0,15,0.2103609895241015,0.7384953705950867,-0.6866607746103975,-0.8589543436151045,-0.23405819513595597,-0.8241784980071718,-0.331229037339419,0.5294325736242255,0.5434161046486795,0.7420571802149715,-0.9559380206641112,-1.0844472782356187
Schleswig-Holstein,2,Nordfriesland – Dithmarschen Nord,232300,219700,12600,5,3066360,18584,22159,16725,7,138075,9023,0.06534854245880861,no,0,15,-1.12317180392684,-0.9301927624096695,-0.8739260711324136,-0.8589543436151045,-0.5246213450924033,-1.1451159729868976,0.4782205523605706,-0.0022599637360526327,0.5434161046486795,-0.8725210301240619,-1.2691398862049441,-1.1394454488402648
Schleswig-Holstein,3,Steinburg – Dithmarschen Süd,220800,209800,11000,5,2627520,20313,20896,14572,6,130875,11176,0.08539446036294174,no,0,15,-1.4268475885740841,-1.281682390425565,-0.9595330638281924,-0.8589543436151045,-0.8340533309371114,-1.0878860952806326,-0.06155496600853545,-0.31709330612787845,0.13207074948423594,-1.2321931663339887,-1.0121568006449544,-0.7724386460811488
Schleswig-Holstein,4,Rendsburg-Eckernförde,248700,239400,9299,3,2487000,21139,22093,12683,5,156268,11578,0.07409066475542017,no,0,15,-0.6901037284299005,-0.23076390666086746,-1.050543997937892,-1.2287561416581805,-0.933135872753943,-1.0605455059310809,0.4500137556761993,-0.5933219098334794,-0.27927460568020757,0.036300521829715306,-0.9641738928906042,-0.9793919971224432
Schleswig-Holstein,5,Kiel,268000,242900,25099,9,3189200,48240,18637,23584,8,150173,10390,0.06918687114194962,no,0,15,-0.180456542021917,-0.10649989675625794,-0.20517494506707679,-0.11935074752895257,-0.43800520904928064,-0.16350275537151515,-1.0269966888872453,1.0007320917518867,0.954761459813123,-0.26817193236466014,-1.1059741277467434,-1.0691721520685695
Schleswig-Holstein,6,Plön – Neumünster,219800,206800,13000,5,4615800,23738,20395,15166,6,130514,11161,0.08551573011324455,no,0,15,-1.4532541785434097,-1.3881943989152303,-0.8525243229584689,-0.8589543436151045,0.5679096369220544,-0.9745186394426003,-0.27567019538535426,-0.23023264408387265,0.13207074948423594,-1.2502267276078474,-1.0139472076507137,-0.7702184023615606
Schleswig-Holstein,7,Pinneberg,307500,281500,26000,8,4028250,46125,23766,15990,5,186372,15977,0.08572639666902754,no,0,15,0.8626037617664433,1.2639546124774355,-0.15696750730526637,-0.3042516465504906,0.15362023011534062,-0.23350922810069422,1.1650133140542787,-0.10973906576020126,-0.27927460568020757,1.5401296868941088,-0.4391071983349165,-0.7663614545552321
Schleswig-Holstein,8,Segeberg – Stormarn-Mitte,313200,294900,18300,5,2881439,41655,22791,14407,4,191937,17166,0.08943559605495553,no,0,15,1.013121324591599,1.7397082503979404,-0.5689511596537017,-0.8589543436151045,-0.6550116291467039,-0.38146617046449105,0.7483219993987931,-0.341221267806769,-0.690619960844651,1.8181262755063645,-0.2971876030117266,-0.6984522964944364
Schleswig-Holstein,9,Ostholstein – Stormarn-Nord,219300,209900,9400,4,2894760,18421,21962,13596,6,137273,11780,0.0858143990442403,no,0,15,-1.4664574735280724,-1.278131990142576,-1.045140056523971,-1.0438552426366425,-0.645618812896049,-1.1505112708851748,0.39402753801479556,-0.45981385521028534,0.13207074948423594,-0.9125845097407788,-0.9400630785463784,-0.7647502801247817
Schleswig-Holstein,10,Herzogtum Lauenburg – Stormarn-Süd,311100,290600,20500,6,5226480,39509,23628,14932,4,191971,18791,0.09788457631621443,no,0,15,0.9576674856560152,1.5870410382294202,-0.4512415446970059,-0.6740534445935665,0.9985083177981058,-0.45249874279395597,1.1060354664415024,-0.2644504806466628,-0.690619960844651,1.8198247272606891,-0.10322684405446528,-0.5437657789157043
