state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id,total_n_z,germans_n_z,foreigner_n_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,votes_total_z,afd_votes_z,afd_prop_z
Schleswig-Holstein,1,Flensburg – Schleswig,282800,266700,16100,3478440,28280,20265,20361,170396,11647000,0.06835254348693631,0,15,0.2103609895241015,0.7384953705950867,-0.6866607746103975,-0.23405819513595597,-0.8241784980071718,-0.331229037339419,0.5294325736242255,0.7420571802149715,-0.9559380206641114,-1.0844472782356187
Schleswig-Holstein,2,Nordfriesland – Dithmarschen Nord,232300,219700,12600,3066360,18584,22159,16725,138075,9023000,0.06534854245880861,0,15,-1.12317180392684,-0.9301927624096695,-0.8739260711324136,-0.5246213450924033,-1.1451159729868976,0.4782205523605706,-0.0022599637360526327,-0.8725210301240619,-1.2691398862049443,-1.1394454488402648
Schleswig-Holstein,3,Steinburg – Dithmarschen Süd,220800,209800,11000,2627520,20313,20896,14572,130875,11176000,0.08539446036294174,0,15,-1.4268475885740841,-1.281682390425565,-0.9595330638281924,-0.8340533309371114,-1.0878860952806326,-0.06155496600853545,-0.31709330612787845,-1.2321931663339887,-1.0121568006449546,-0.7724386460811488
Schleswig-Holstein,4,Rendsburg-Eckernförde,248700,239400,9299,2487000,21139,22093,12683,156268,11578000,0.07409066475542017,0,15,-0.6901037284299005,-0.23076390666086746,-1.050543997937892,-0.933135872753943,-1.0605455059310809,0.4500137556761993,-0.5933219098334794,0.036300521829715306,-0.9641738928906044,-0.9793919971224432
Schleswig-Holstein,5,Kiel,268000,242900,25099,3189200,48240,18637,23584,150173,10390000,0.06918687114194962,0,15,-0.180456542021917,-0.10649989675625794,-0.20517494506707679,-0.43800520904928064,-0.16350275537151515,-1.0269966888872453,1.0007320917518867,-0.26817193236466014,-1.1059741277467436,-1.0691721520685695
Schleswig-Holstein,6,Plön – Neumünster,219800,206800,13000,4615800,23738,20395,15166,130514,11161000,0.08551573011324455,0,15,-1.4532541785434097,-1.3881943989152303,-0.8525243229584689,0.5679096369220544,-0.9745186394426003,-0.27567019538535426,-0.23023264408387265,-1.2502267276078474,-1.0139472076507139,-0.7702184023615606
Schleswig-Holstein,7,Pinneberg,307500,281500,26000,4028250,46125,23766,15990,186372,15977000,0.08572639666902754,0,15,0.8626037617664433,1.2639546124774355,-0.15696750730526637,0.15362023011534062,-0.23350922810069422,1.1650133140542787,-0.10973906576020126,1.5401296868941088,-0.4391071983349167,-0.7663614545552321
Schleswig-Holstein,8,Segeberg – Stormarn-Mitte,313200,294900,18300,2881439,41655,22791,14407,191937,17166000,0.08943559605495553,0,15,1.013121324591599,1.7397082503979404,-0.5689511596537017,-0.6550116291467039,-0.38146617046449105,0.7483219993987931,-0.341221267806769,1.8181262755063645,-0.2971876030117267,-0.6984522964944364
Schleswig-Holstein,9,Ostholstein – Stormarn-Nord,219300,209900,9400,2894760,18421,21962,13596,137273,11780000,0.0858143990442403,0,15,-1.4664574735280724,-1.278131990142576,-1.045140056523971,-0.645618812896049,-1.1505112708851748,0.39402753801479556,-0.45981385521028534,-0.9125845097407788,-0.9400630785463786,-0.7647502801247817
Schleswig-Holstein,10,Herzogtum Lauenburg – Stormarn-Süd,311100,290600,20500,5226480,39509,23628,14932,191971,18791000,0.09788457631621443,0,15,0.9576674856560152,1.5870410382294202,-0.4512415446970059,0.9985083177981058,-0.45249874279395597,1.1060354664415024,-0.2644504806466628,1.8198247272606891,-0.10322684405446539,-0.5437657789157043
Schleswig-Holstein,11,Lübeck,235300,216500,18800,2870660,38824,19238,20471,129805,11549000,0.08897191941758792,0,15,-1.0439520340188633,-1.0438055714653125,-0.5421989744362709,-0.6626120470106637,-0.4751722339615624,-0.7701438887765305,0.5455178814101524,-1.2856444421318527,-0.9676353464350724,-0.7069414303424454
Mecklenburg-Vorpommern,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,270900,254600,16299,7260120,12732,18008,21130,155412,25692000,0.1653154196587136,1,8,-0.10387743111087283,0.3088969363534367,-0.6760134048938601,2.4324552316920816,-1.3388170975311793,-1.295816008803451,0.6418834980549333,-0.006460498808575978,0.7204797390618793,0.6907787473481152
